Username,Nickname,Messages,Tokens
"strength#0491","strength",3,379.3270263697335
"tinydancerbugg#4863","tinydancerbugg",3,379.3270263697335
"R.Absurdum#9148","R.Absurdum",3,379.3270263697335
"Alex 2TOP#2020","Alex 2TOP",3,379.3270263697335
"keith#9202","keith",3,379.3270263697335
"Minato | CTO#5411","Minato | CTO",3,379.3270263697335
"Onus#8877","Onus",3,379.3270263697335
"Renza#7213","Renza",3,379.3270263697335
"crowddemocracy#3667","idea generator",3,379.3270263697335
"sharma#8919","sharma",3,379.3270263697335
"Maxximum Time#0030","Maxximum Time",3,379.3270263697335
"fasm#6338","fasm",3,379.3270263697335
"deeppsycho_art#2164","deeppsycho_art",3,379.3270263697335
"HqHu#6186","HqHu",3,379.3270263697335
"Febris Reddick#3567","Febris Reddick",3,379.3270263697335
"Vincent Weisser#9975","vincentweisser.eth",3,379.3270263697335
"Maxwell#1695","Maxwell",3,379.3270263697335
"aserfeliz#1623","aserfeliz",3,379.3270263697335
"we111uck (〖〗,〖〗)#5312","we111uck (〖〗,〖〗)",3,379.3270263697335
"RageRabb1t#3163","RageRabb1t",3,379.3270263697335
"Gerasimmm#2752","Gerasimmm",3,379.3270263697335
"alexsergeev#1373","alexsergeev",3,379.3270263697335
"Kisaretssasha#5076","Kisaretssasha",3,379.3270263697335
"buyandshort#5199","buyandshort",3,379.3270263697335
"Skoll#2094","Skoll",3,379.3270263697335
"gonzo#4599","gonzo",3,379.3270263697335
"LENINA PAKET#8009","LENINA PAKET",3,379.3270263697335
"flowybuilder#1502","flowybuilder",3,379.3270263697335
"conanxin#2110","conanxin",3,379.3270263697335
"Ashwin#9999","Ashwin",3,379.3270263697335
"ap#2471","ap",3,379.3270263697335
"maruo#3739","maruo",3,379.3270263697335
"shriram#8305","shriram",3,379.3270263697335
"Alexchain#8289","Alexchain",3,379.3270263697335
"alpoham#3216","alpoham",3,379.3270263697335
"23#3482","23",3,379.3270263697335
"Baron44 | project hive 9 lvl#0812","Baron44 | project hive 9 lvl",3,379.3270263697335
"starksuu#6719","starksuu",3,379.3270263697335
"sully#7457","sully",3,379.3270263697335
"Duluth#6307","Duluth",3,379.3270263697335
"cresencio#4214","cresencio",3,379.3270263697335
"franckjones#0001","franckjones",3,379.3270263697335
"drc1912#6410","drc1912",3,379.3270263697335
"aram#0001","aram",3,379.3270263697335
"shugo#8088","shugo",3,379.3270263697335
"avaxnaut#8644","avaxnaut",3,379.3270263697335
"brad#4116","brad",3,379.3270263697335
"Rob M.#5795","Rob M.",3,379.3270263697335
"henryLLdanger#9473","henryLLdanger",2,350.5218644847237
"Jamiecpc#2564","Jamiecpc",2,350.5218644847237
"wichita#0458","wichita",2,350.5218644847237
"why_carolina#0174","why_carolina",2,350.5218644847237
